feature_name,category,total_count,event_count,non_event_count,event_rate,woe,is_rare_bucket,is_missing_bucket,encoded_feature_name
ServiceArea,DENBOU303,89,1,88,0.011235955056179775,0.7452421131666593,False,False,ServiceArea_woe
ServiceArea,DENCOL719,161,0,161,0.0,2.445356992483596,False,False,ServiceArea_woe
ServiceArea,DENDEN303,359,9,350,0.025069637883008356,0.2757735771290894,False,False,ServiceArea_woe
ServiceArea,DENGLD303,76,4,72,0.05263157894736842,-0.5527861656547051,False,False,ServiceArea_woe
ServiceArea,DETANN734,141,5,136,0.03546099290780142,-0.12071880835247097,False,False,ServiceArea_woe
ServiceArea,DETDET313,368,15,353,0.04076086956521739,-0.2052518693276337,False,False,ServiceArea_woe
ServiceArea,DETFLI810,62,2,60,0.03225806451612903,-0.14594269757641948,False,False,ServiceArea_woe
ServiceArea,DETKAL616,43,1,42,0.023255813953488372,0.011743637083146496,False,False,ServiceArea_woe
ServiceArea,DETLAN517,32,2,30,0.0625,-0.8308593789998493,False,False,ServiceArea_woe
ServiceArea,DETMON734,33,0,33,0.0,0.8723972886519058,False,False,ServiceArea_woe
ServiceArea,DETPON248,312,10,302,0.03205128205128205,0.02841068956835832,False,False,ServiceArea_woe
ServiceArea,DETROS810,200,8,192,0.04,-0.21226534050749207,False,False,ServiceArea_woe
ServiceArea,DETSOU248,39,0,39,0.0,1.0371525217279611,False,False,ServiceArea_woe
ServiceArea,DETTOL419,124,2,122,0.016129032258064516,0.5595249673715663,False,False,ServiceArea_woe
ServiceArea,DETWYN734,129,2,127,0.015503875968992248,0.5995303019852656,False,False,ServiceArea_woe
ServiceArea,FLNBRD941,35,1,34,0.02857142857142857,-0.19680111480991047,False,False,ServiceArea_woe
ServiceArea,FLNCLR813,217,3,214,0.013824884792626729,0.7832514391336435,False,False,ServiceArea_woe
ServiceArea,FLNCOC407,84,4,80,0.047619047619047616,-0.4481155430908165,False,False,ServiceArea_woe
ServiceArea,FLNDAY904,50,2,48,0.04,-0.3670222646697777,False,False,ServiceArea_woe
ServiceArea,FLNGAN352,74,1,73,0.013513513513513514,0.5595249673715665,False,False,ServiceArea_woe
ServiceArea,FLNJAC904,205,7,198,0.03414634146341464,-0.05640925115407994,False,False,ServiceArea_woe
ServiceArea,FLNKIS407,68,3,65,0.04411764705882353,-0.4030081565932219,False,False,ServiceArea_woe
ServiceArea,FLNLAK941,32,2,30,0.0625,-0.8308593789998493,False,False,ServiceArea_woe
ServiceArea,FLNLEE352,65,1,64,0.015384615384615385,0.42890478495450235,False,False,ServiceArea_woe
ServiceArea,FLNNPR813,30,1,29,0.03333333333333333,-0.35337017550145056,False,False,ServiceArea_woe
ServiceArea,FLNOCA352,74,1,73,0.013513513513513514,0.5595249673715665,False,False,ServiceArea_woe
ServiceArea,FLNORL407,266,7,259,0.02631578947368421,0.21155835132461828,False,False,ServiceArea_woe
ServiceArea,FLNSAN407,37,2,35,0.05405405405405406,-0.6790533661318451,False,False,ServiceArea_woe
ServiceArea,FLNSAR941,79,4,75,0.05063291139240506,-0.5122400712603553,False,False,ServiceArea_woe
ServiceArea,FLNTAL850,116,4,112,0.034482758620689655,-0.11341950587085926,False,False,ServiceArea_woe
ServiceArea,FLNTAM813,207,3,204,0.014492753623188406,0.7355096762484283,False,False,ServiceArea_woe
ServiceArea,FLNWNP407,95,5,90,0.05263157894736842,-0.5316935722716051,False,False,ServiceArea_woe
ServiceArea,HARBRI203,93,4,89,0.043010752688172046,-0.3421341022345245,False,False,ServiceArea_woe
ServiceArea,HARHAR860,303,11,292,0.036303630363036306,-0.09617769943635346,False,False,ServiceArea_woe
ServiceArea,HARLON860,49,0,49,0.0,1.2628245193955296,False,False,ServiceArea_woe
ServiceArea,HARNEW203,178,6,172,0.033707865168539325,-0.05370027116923717,False,False,ServiceArea_woe
ServiceArea,HARNOR203,177,6,171,0.03389830508474576,-0.05951424103465702,False,False,ServiceArea_woe
ServiceArea,HARSPR413,88,0,88,0.0,1.843854401834769,False,False,ServiceArea_woe
ServiceArea,HARWAT203,47,0,47,0.0,1.2215815608614806,False,False,ServiceArea_woe
ServiceArea,HOUBRN409,64,2,62,0.03125,-0.11341950587085939,False,False,ServiceArea_woe
ServiceArea,HOUCON409,37,1,36,0.02702702702702703,-0.14044817825877876,False,False,ServiceArea_woe
ServiceArea,HOUHOU281,1510,57,1453,0.03774834437086093,-0.10235055854343443,False,False,ServiceArea_woe
ServiceArea,HOUSPR832,75,2,73,0.02666666666666667,0.04869934360557573,False,False,ServiceArea_woe
ServiceArea,HWIHON808,237,6,231,0.02531645569620253,0.24048236588563712,False,False,ServiceArea_woe
ServiceArea,INDIND317,420,13,407,0.030952380952380953,0.07505591649747355,False,False,ServiceArea_woe
ServiceArea,INHFTW219,46,1,45,0.021739130434782608,0.07995188710968021,False,False,ServiceArea_woe
ServiceArea,KCYKCK913,342,6,336,0.017543859649122806,0.6145006414441309,False,False,ServiceArea_woe
ServiceArea,KCYKCM816,396,10,386,0.025252525252525252,0.27346128012493887,False,False,ServiceArea_woe
ServiceArea,KCYLAW913,35,1,34,0.02857142857142857,-0.19680111480991047,False,False,ServiceArea_woe
ServiceArea,KCYTOP913,44,2,42,0.045454545454545456,-0.49908198668284415,False,False,ServiceArea_woe
ServiceArea,KCYWIC316,148,4,144,0.02702702702702703,0.13690678003715273,False,False,ServiceArea_woe
ServiceArea,LAUJAC601,40,1,39,0.025,-0.06145976694014837,False,False,ServiceArea_woe
